title,singer,lyric,genre
I Wanna Die,Nhã Ca, hiện chưa có lời bài hát nào cho i wanna die do ca sĩ nhã ca trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Con Thuyền,Re, hiện chưa có lời bài hát nào cho con thuyền do ca sĩ recycle trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Yêu Là Không Hối Tiếc,Trini,bên cạnh ta đời trôi cứ trôi không ngừng dòng sông cứ trôi không dừng còn riêng đôi ta bên ngày sang thời gian cứ bay như diều từng cơn gió bay tung chiều còn riêng đôi ta mình yêu không hối tiếc học yêu để biết yêu học yêu để quý nhau trong từng giây gặp gỡ mình yêu không hối tiếc để tương tư suốt thôi để không đánh mất nhau bên dòng sông thời gian năm dần qua người ta cứ đi không ngừng chuyện riêng mất riêng không chừng thì sao anh ơi ta còn vui còn yêu dấu nhau thêm nhiều còn nhung nhớ nhau thêm nhiều thì ta yêu thôi mình yêu không hối tiếc mình yêu nhau sẽ vui vì ta quá khó khăn mới được nay gần nhau mình yêu không hối tiếc mình tương tư suốt thôi mình đem bóng dáng đôi in hình trong quả tim yêu là đem tay ấm cho nhau tay mềm thay cho nụ hôn và được trao nhau ánh mắt cháy rực mình yêu không hối tiếc,rock-viet
Go On Việt Nam,Tuấn Nghĩa,go on việt nam vinh quang việt nam tự hào đất việt mến yêu go on việt nam vinh quang việt nam tự hào đất việt mến yêu go on việt nam tiến lên những người con đất việt go on việt nam tiến lên những người con quả cảm ý chí hoài bão vinh quang việt nam niềm vui vỡ òa nụ cười nước mắt vững một niềm tin sức mạnh phù đổng bay khắp đôi chân truyền banh đánh đầu chiến thắng không kiêu bại không nản chí khát vọng bền bỉ sáng ngời năm châu bay lên việt nam ta bay việt nam tự hào trái tim việt nam go on việt nam go on việt nam go on go on việt nam go on go on việt nam việt nam,rock-viet
Bí Mật Của Người Ra Đi,Hạc San,từ nơi rất xa một khúc hát bay theo cánh chim nao cô đơn về khung trời cũ gọi nỗi nhớ trong thẳm sâu về người đã khuất bóng nơi thiên đường từ bao lâu bao nhiêu năm lang thang mãi kiếm tìm điều đã mất và điều chưa tìm thấy cuộc sống kia chôn dấu những bí mật mà người mang theo về đâu ngày vội lụi tàn để đêm sang người vội giã từ để hồn mang nát tan một lời tạ từ còn chưa vang hồn vội lìa trần về nơi xa thật xa lặng nghe nỗi đau lồng ngực héo hon mang trái tim quá im lặng đêm nghiệt ngã bàn tay ấm nay giá lạnh ngọn lửa cháy thiêu đốt phút chia li người ra đi đôi mắt xa xăm mãi nhắm lại mưa giăng kín trong hồn ai hoang vu thiên thu xa xôi phút tiễn đưa đưa người ra đi về đâu băng qua đau thương ôi một kiếp người còn chôn giấu những góc khuất trong tâm hồn hỏi thượng đế nơi thế giới bên kia đâu phép màu cho người ra đi mãi mãi trong bình yên,rock-viet
Nhìn Lại,Đông Hùng,con đường ta đi đêm tối dẫn lối về đâu khi niềm tin mất hết chỉ có buồn đau nỗi buồn ấy vẫn cứ từng ngày từng giờ chảy trong ta ta hay biết đâu và nhiều lúc sống với bế tắc một mình tìm đâu ra tương lai cho chính ta thôi đành quên đi tập quên đi tập sống với những nỗi khát khao với niềm đam mê sâu thẳm trong tim ta ta cố gắng thắp sáng một niềm tin những kí ức dẫu vẫn ức ùa về sâu thẳm trong thâm tâm giọt lệ rơi mang theo những đắng cay cứ giữ lấy từng kỉ niệm ngày nào dù là trong cơn mơ ta bật khóc nếu có lúc những vấp ngã đường đời cho niềm đau nhân lên khi nhìn ra xung quanh không bóng ai hãy giữ lấy từng khoảnh khắc sau cùng để rồi mai sau ta vẫn mỉm cười nhìn lại nhìn lại ngày đã xa chặng đường mình bước qua cho tương lai mai sau ta sẽ không sai thêm khi ta đã chợt nhận ra mở lòng và thứ tha buồn phiền rồi sẽ qua cho ta thêm niềm tin,rock-viet
Song Song,Lưu Quang Minh,song song những thế giới vô hình song song đôi tâm hồn hai chúng ta đôi ta như những đường thẳng song song rất gần mà rất xa song song những khoảng cách ngăn kia anh đi tìm một điểm nối giao nhau em đâu hay hạnh phúc trong tay mãi kiếm tìm ở cực phía xa xôi song song những khoảng trống nghĩ suy ngay bên cạnh hay ở phía bên kia em không tin một điều nhỏ nhoi thôi xa hay gần trong chính trái tim ta ta dẫu gần vẫn cứ là rất xa vẫn chỉ là những đường thẳng song song mãi mãi là những thế giới song song ta thật xa dẫu là đang thật gần ôi những thế giới song song những đường thẳng song song hai tâm hồn hai tâm hồn song song giữa khoảng cách hai chúng ta em đứng bên đó không bao giờ bước qua nơi đây có một người chờ đợi em thiết tha chờ đợi khi song song với những tháng ngày nghiệt ngã song song có bao giờ giao nhau như anh và em tuy bên nhau bao nhiêu lâu mang thương đau nhưng hạnh phúc không thể lo được cho nhau hay vì biết nhau quá muộn màng vì bước chân em lỡ làng phút tàn đắm say anh ngỡ ngàng biết được tương lai cũng dở dang lỗi tại khác nhau hai thế giới như bắc và nam đông sang tây hai cực đối lập không chung tay một tình yêu song song không điểm dừng song song những thế giới vô hình song song đôi tâm hồn hai chúng ta đôi ta như những đường thẳng song song rất gần mà rất xa song song những khoảng cách ngăn kia anh đi tìm một điểm nối giao nhau em đâu hay hạnh phúc trong tay mãi kiếm tìm ở cực phía xa xôi song song những khoảng trống nghĩ suy ngay bên cạnh hay ở phía bên kia em không tin một điều nhỏ nhoi thôi xa hay gần trong chính trái tim ta ta dẫu gần vẫn cứ là rất xa vẫn chỉ là những đường thẳng song song mãi mãi là những thế giới song song ta thật xa dẫu là đang thật gần ôi những thế giới song song những đường thẳng song song hai tâm hồn hai tâm hồn hai tâm hồn,rock-viet
Giấc Mơ Chapi (Giai Điệu Tự Hào 2015),Ngũ Cung,ở nơi ấy tôi đã thấy trên ngọn núi cao có 2 người chỉ có 2 người yêu nhau uh uh họ đã sống không mùa đông không mùa nắng mưa có 1 mùa chỉ có 1 mùa yêu nhau uh uh uh ở nơi ấy đàn dê trắng ngẩn ngơ quanh đồi 1 mái tranh nghèo 1 nhà sàn đơn sơ ở nơi ấy họ đã sống cuộc sống yên bình ai nghèo cũng có cây đàn chapi khi rung lên vài sợi dây đàn đã đong đầy hồn người dácplây ở nơi ấy đàn dê trắng ngẩn ngơ quanh đồi 1 mái tranh nghèo 1 nhà sàn đơn sơ ở nơi ấy họ đã sống cuộc sống yên bình ai nghèo cũng có cây đàn chapi khi rung lên vài sợi dây đàn đã đong đầy hồn người dácplây đk ơi dácplây yêu rừng cây ngọn núi nghe vang đàn chapi ai yêu tự do yêu rừng xanh thì lên núi nghe đàn chapi tôi yêu chapi không còn cô đơn không buồn không vui khi nghe chapi chợt thấy nao lòng để 1 giấc mơ ôi chapi ở nơi ấy đàn dê trắng ngẩn ngơ quanh đồi 1 mái tranh nghèo 1 nhà sàn đơn sơ ở nơi ấy họ đã sống cuộc sống yên bình ai nghèo cũng có cây đàn chapi khi rung lên vài sợi dây đàn đã đong đầy hồn người dácplây ơi dácplây yêu rừng cây ngọn núi nghe vang đàn chapi ai yêu tự do yêu rừng xanh thì lên núi nghe đàn chapi tôi yêu chapi không còn cô đơn không buồn không vui khi nghe chapi chợt thấy nao lòng để 1 giấc mơ ôi chapi ,rock-viet
Đò Xuôi Thạch Hãn,Nhà Kho,để lại trang sách đang dở dang để lại khói bếp thơm mùi ngô cùng ký ức đắm đuối bao hẹn ước phía trước để lên đường xẻ dọc đất nước in dấu chân hai miền một khẩu súng giữ bầu trời việt nam để cho những tiếng hát câu hò ru thiết tha quay về đây dòng sông lịch sử uốn qua miền trung chọn chương thạch hãn in vào nghìn thu mùa hè đỏ lửa nhất khi đoàn quân qua sông không trở lại đạn bom đổ xuống như điên cuồng người chiến sĩ vẫn băng đều qua sông vẫn nắm chắc tay súng ra trận đánh quyết thắng cho dù hy sinh đáy sông kia có bạn tôi nằm đò mà xuôi chèo nhẹ nhàng thôi nhé tuổi hai mươi thành sóng nước tuổi hai mươi thành sóng nước vỗ yên bờ mãi mãi ngàn năm mẹ lau nước mắt cho đời trẻ lâu vì tổ quốc đã sống thay con người yêu hãy nhớ nhé thân nằm đây nhưng trái tim anh đã về nhà tìm lại trang sách đang dang dở tìm lại khói bếp thơm mùi ngô tìm lại những khúc hát câu hò ru thiết tha trong tuổi thơ,rock-viet
Xa,Oringchains,có khi nào em bỗng thấy lạc lõng giữa đám đông có khi nào sợ hãi thấy mình em giữa cơn giông lặng nhìn quanh đứng chơ vơ một mình màn đêm như vỡ tan lặng tìm quanh đôi mắt ai vô hình tìm đâu xa quá xa tôi chợt xa tôi chợt xa chợt xa hơi ấm trên môi tôi chợt quên hết tôi chợt quên hết chợt quên ký ức trong tôi có khi nào là mãi mãi có nỗi sầu còn vương mỗi đêm dài lại thức giấc bình minh sang vội vàng nhẹ nhàng thôi nhé những bước chân em về thời gian lẵng lẽ trôi dịu dàng thôi nhé như dáng em đi về giờ nơi đâu rất xa tôi chợt xa tôi chợt xa chợt xa hơi ấm trên môi tôi chợt quên hết tôi chợt quên hết chợt quên ký ức trong tôi em chợt xa em chợt xa và mang khao khát cho tôi em chợt quên hết em chợt quên hết chợt quên ký ức trong tôi,rock-viet
Cứu Tôi,Picub,fires burning all around ashes falling to the ground someone save me set me free the smoke it settles on my skin dont play with fire youll never win someone save me help me breathe từng là một người luôn mỉm cười trong mọi tình huống từng viết sống tiếp rồi tự tin làm những gì mình muốn nhưng rồi phiền muộn vẫn trở lại ở bên ta những cơn ác mộng cứ dày vò tâm trí suốt mấy đêm qua tròn một năm tâm sự của ta chưa được trải lòng ngoài rượu bia là tri kỉ thì còn lại có ai không khi ta say ta chỉ viết được vài dòng để hài lòng bản thân thì đó chỉ là hoài mong ta là chiến binh vĩ đại luôn chiến thắng trong mọi cuộc chơi vỗ ngực đắc ý là chiến mã nên đường dài chạy không tuột hơi đôi cánh đại bàng của ta là nỗi khiếp sợ của đám gà con bình minh của ta bừng sáng đủ làm héo úa đám mạ non ta tự phong tước cho mình với cái tên là trùm tất cả thiết nghĩ mọi chuyện vất vả trên đời ta cũng từng trải qua ta gieo hạt tốt chỉ để mong chờ ngày hái quả nhưng sau tất cả ta nhận được gì ngoài hai chữ là tai họa fires burning all around ashes falling to the ground someone save me set me free the smoke it settles on my skin dont play with fire youll never win someone save me help me breathe không một ai cả đoạn đường này chỉ mình ta bước họ chọn đường tốt hơn ta ta dừng lại họ vượt qua trước ta là phước đích đến giữa ta và họ thì khác nhau nhưng điểm xuất phát giữa họ và ta thì sát nhau họ đặt cuộc đời của họ ra cược rồi đem vô cuộc đua vết thương của ta quá nhiều nên thì thôi được thua tranh đấu làm gì khi nỗi đau lớn nhất thuộc về bản thân kèm theo sự mất mát tình cảm gia đình bạn gái và bạn thân cũng từng sống tốt nói đúng theo tên mình là từ bi nụ cười trên môi của các bạn cũng một phần là từ bi tôi đã từng giúp nhiều người nhưng lần này gặp nạn là tôi phà từng đưa nhiều người sang sông nhưng không may giờ phà trôi hãy đưa cánh tay cho tôi với lấy đấy là cứu tôi rót đầy và uống cho say đêm nay vậy là cứu tôi cảm thấy nhạc hay thì rap với tôi bài này hãy cứu tôi you are so brave to save me cứu tôiiiiiiiiii,rock-viet
Vô Cực,KOP,mơ ai mơ thôi đừng rơi cho thân tôi k phải rã rời dù kia rời ngày qua giông lớn tôi đi đâu để tìm thấy tôi vội bàn chân lối đi chói lòa phải chăng nơi ấy còn khô hạn phiêu du về nơi đầy ánh sáng nhỏ xuống trần gian nơi ta ngỡ ngàng chẳng còn gì để ta phải khóc tự tìm cho ta lối đi trong màn đêm giá lạnh chẳng còn ngày ngủ quên tăm tối còn gì để ta níu kéo nhìn lại ta những giây phút này dù kiếp sống chỉ là số 0 ắt hẳn cũng sẽ xác xơ nỗi lòng nhìn lại bao giấc mộng chưa thành người say mê kiếm tìm tự hão để rồi nằm xuống không thành,rock-viet
26 Ngày,Oringchains,rồi từng khi đôi mắt ta buồn khi xung quanh còn ai từng dòng lệ trên mắt ta sao quanh ta lặng thinh lời nói dối khi nào cùng ánh mắt vô tội có lúc vô tình làm vết thương kia không lành rồi cứ thế qua ngày vết thương loang dần trong ta cùng với những ký ức đôi khi ta muốn xa em dù còn bao điều chưa nói nhưng nay ta biết không còn gì chẳng khác đi đâu đôi khi ta muốn bên em dù là trong giây phút nhưng không yếu đuối như giờ này dù sao ta biết chẳng còn gì rồi nhiều khi đôi mắt em nhìn quanh không gian lặng im dòng thời gian như đóng băng buông đôi tay thả rơi từng điếu thuốc phai tàn mập mờ khói trắng vô hình có lúc vô tình làm nỗi đau kia dâng tràn giọt nước mắt tuôn trào đem ta lạc vào cơn mưa của ký ức vỡ nát đôi khi ta muốn xa em dù còn bao điều chưa nói nhưng nay ta biết không còn gì chẳng khác đi đâu đôi khi ta muốn bên em dù là trong giây phút nhưng không yếu đuối như giờ này vì ta biết không còn gì đau nữa em gừi đây khóc thầm lặng lẽ em rời xa bước chân vội vã em giờ như bức tranh vụn vỡ em nhạt phai sắc màu hoàng hôn em bỏ quên biết bao ngày tháng em giờ mang bóng hình vụn vỡ em lặng im ngước nhìn hoàng hôn em vụt tan biến trong chiều vỡ đôi khi ta muốn xa em dù còn bao điều chưa nói nhưng nay ta biết không còn gì chẳng khác đi đâu đôi khi ta muốn bên em dù là trong giây phút nhưng không yếu đuối như giờ này vì ta biết không còn gì đau nữa đôi khi ta muôn bên em vì ta biết không còn gì đau nữa đôi khi ta muốn xa em vì ta biết không còn gì đau nữa,rock-viet
Rhapsody Tháng 10,Oringchains,cứ mãi muốn ngắm nhìn nụ cười ấy giữ ánh nắng chiếu ngọt ngào lung linh bờ vai nhưng bao âu lo ùa về chợt đánh rơi một kí ức in trong mắt em buồn em bên ta quá xa vời em bên ta quá xa có lúc bỗng thấy nụ cười chợt tắt giữa những góc phố đường mờ sương giăng màn đêm nghe đâu xung quanh dòng đời vội vã đánh rơi giọt nước mắt sâu trong mắt em buồn em bên ta quá xa vời em bên ta quá xa long lanh rồi nhìn hai dòng nước mắt đôi khi sau những chiếc hôn đầu thật quá mong manh rồi vòng tay nào xa cách đôi khi em nhắc ta đừng buồn và em nhắc ta đừng buồn em hỡi em bên ta quá xa vời em bên ta quá xa có những lúc muốn ngủ vùi ngày tháng cho ta quên đi đợi chờ bao lâu thời gian môi em run run từng chiều lạnh giá đôi tay chợt thấy như trong ta nghẹn lời,rock-viet
Luân Hồi,Re, hiện chưa có lời bài hát nào cho luân hồi do ca sĩ recycle trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Thời Gian Tôi,Phạm Anh Khoa,khi thời gian đã mang về đây những tháng ngày êm đềm ta còn nghe tiếng đêm về trong giấc ngủ tiếng môi cười khi tình yêu đã mang về đây những ngày tháng vui buồn nhưng chỉ nghe trái tim nhỏ nhoi yếu mềm vẫn kêu gào những êm đềm những vui buồn ngày xưa cuốn theo dòng thời gian ngỡ như là giấc mơ của đời nhau cuốn theo dòng thời gian ngày tắt chỉ còn bóng đêm và những muộn phiền gối đầu chỉ thấy một mình bước đi chẳng thấy ngày mai,rock-viet
Race Against Death (Guitar Solo Instrumental),Cụ Minh Rock, hiện chưa có lời bài hát nào cho race against death guitar solo instrumental do ca sĩ cụ minh rock trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Cúi Xuống,Cụ Minh Rock,cúi xuống để thấy bàn tay trắng tiếc nuối chi nữa từng giọt đắng thế giới hoang vắng chỉ có ta một ngày trôi qua bao đêm lang thang chốn quán vắng khói thuốc trắng màn đêm gầy mòn say trong men rượu cay không hay nhìn thấy cuộc sống thật quá phũ phàng đêm qua đêm ta thấy trống vắng khói thuốc trắng vẫn như ngày nào ngày từng ngày mà ta đâu hay dù biết tội lỗi nhưng vẫn thiết tha một lần nhớ rồi một lần quên để thấy nước mắt rơi trong đêm dài mà mình chẳng biết tại sao tại sao tại sao một lần đến rồi một lần đi cuộc sống dối trá ai đu dây điện mà mình chẳng biết tại sao tại sao tại sao khi ta lang thang chốn phố vắng khói thuốc trắng ly cà phê gầy mòn lo rong chơi mà ta đâu hay cạm bẫy cuộc sống thật quá phũ phàng ta hay lang thang góc phố vắng khói thuốc trắng vẫn như ngày nào đêm qua đêm mà ta đâu haycạm bẫy cuộc sống giăng trước mắt ta một lần đến rồi một lần đi cuộc sống dối trá ai đu dây điện chỉ cần đến một lần là thấy cuộc sống không như giấc mơ thần tiên làn tóc rối sao vẫn còn mãi nuối tiếc làn khói trắng xóa làn môi khô cằn dòng thời gian sao vẫn còn mãi nuối tiếc nhìn quanh chỉ thấy mình ta cúi xuống khi ta lang thang chốn quán vắng khói thuốc trắng ly cà phê gầy mòn lo rong chơi mà ta đâu hay cạm bẫy cuộc sống thật quá phũ phàng ta hay lang thang góc phố vắng khói thuốc trắng vẫn như ngày nào ngày từng ngày mà ta đâu hay cạm bẫy cuộc sống giăng trước mắt ta một lần đến rồi một lần đi cuộc sống dối trá ai đu dây điện chỉ cần đến một lần là thấy cuộc sống không như giấc mơ thần tiên làn tóc rối sao vẫn còn mãi nuối tiếc làn khói trắng xóa làn môi khô cằn dòng thời gian sao vẫn còn mãi nuối tiếc nhìn quanh chỉ thấy mình ta cúi xuống,rock-viet
Ban Nhạc (Hòa Tấu),CoCC Band, hiện chưa có lời bài hát nào cho ban nhạc hòa tấu do ca sĩ cocc band trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Chính Lúc Này,Bảo Dũng,sao đi về nơi không có ánh mặt trời quay lưng lại nơi bao êm ấm gọi mời gian nan ngày qua trên đường dài phong ba bơ vơ đường xa không lùi bước chân ta yêu thương gần bên mãi mãi vẫn lâu bền mặt trời sẽ lên rồi ngày mai sẽ đến chính lúc này đây hãy nắm lấy cơ hội trong tay nhân gian đổi thay tương lai nào ai được trông thấy cố gắng nhiều mấy đến lúc thành công anh có hay cho lặng lẽ mau quên ngày xanh nơi này chính lúc này thôi biết đến sẽ không còn xa xôi khi đêm dần trôi đôi tay này xua đi u tối những thứ gian dối đến lúc tàn phai rồi đó thôi cứ vững bước đôi chân này không bối rối bóng tối đã tan rồi,rock-viet
Nối Vòng Tay Lớn,V.A, hiện chưa có lời bài hát nào cho nối vòng tay lớn do ca sĩ va trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Cướp Vợ Tục Lệ Người H'Mông,Ngũ Cung,bản mèo ánh trăng sáng tay dắt cương giấu con ngựa dưới sàn chàng trai người mông vắt em yêu ngang lưng ngựa đó ngựa mang thiên thần lên đỉnh núi người hmông uống rượu ngô ăn thắng cố xoè váy hoa chọi hoạ mi phóng ngựa mang em yêu lên núi tục lệ trai người mông cướp em yêu mang trên ngựa cưới vợ tình yêu say mê đó như cánh hoa đào hạnh phúc tình yêu lứa đôi trên đỉnh núi suối ngàn rì rào lời yêu thương đó vẫn còn từ trong tim yêu tha thiết thiên thần ơi rì rào lời suối hát thác trắng ngần khèn vang vang trên đỉnh núi anh cùng em bản mèo ánh trăng sáng tay dắt cương giấu con ngựa dưới sàn chàng trai người mông vắt em yêu ngang lưng ngựa đó ngựa mang thiên thần lên đỉnh núi người hmông uống rượu ngô ăn thắng cố xoè váy hoa chọi hoạ mi phóng ngựa mang em yêu lên núi rì rào lời suối hát thác trắng ngần khèn vang vang trên đỉnh núi anh cùng em ,rock-viet
Nhiệt Huyết,Duy Hiển,khi âm thanh con tim cất lên xé tan đêm đen giấc mơ không còn xa vời nhịp chân ai đang bước qua lắng nghe không gian lắng nghe thanh bình trong đời vươn đôi vai tôi đưa cánh tay ngẩng lên dòng người ngẩng lên dòng đời vội vã trên đôi chân tôi lê bước dài như thể tôi đang lạc lối về bóng tối níu kéo những ước mơ của cuộc đời bỏ lại âm thanh đau thương sau lưng ai vây kín trong mịt mờoh ohnhắm mắt nghĩ đến những nỗi đau thật nhẹ nhàng bàng hoàng nhận ra nơi con tim tôi đã thấm bao mệt nhoài dẫu đã biết có những khó khăn còn chờ đợi lặng nhìn thời gian trôi qua tôi chơi vơi khẽ ngước lên bầu trờioh oh cố gắng đếm đến những vết thương còn tồn tại để rồi ôm lấy tôi vươn lên đi đi đi tiếp trong thực tại gắng qua đây ôi bao khó khăn vẫn đang vây quanh với tôi như đã rồi bình minh mang theo ánh dương đến nơi xa xăm đến nơi đong đầy tiếng cười vươn đôi vai tôi đưa cánh tay ngẩng lên dòng người ngẩng lên dòng đời vội vã trên đôi chân tôi lê bước dài như thể tôi đang lạc lối về bóng tối níu kéo những ước mơ của cuộc đời bỏ lại âm thanh đau thương sau lưng ai vây kín trong mịt mờoh ohnhắm mắt nghĩ đến những nỗi đau thật nhẹ nhàng bàng hoàng nhận ra nơi con tim tôi đã thấm bao mệt nhoài dẫu đã biết có những khó khăn còn chờ đợi lặng nhìn thời gian trôi qua tôi chơi vơi khẽ ngước lên bầu trờioh oh cố gắng đếm đến những vết thương còn tồn tại để rồi ôm lấy tôi vươn lên đi điđi tiếp trong thực tại,rock-viet
Rock Gọi Đò,Roc Piin,gọi đò ơi ai giúp đưa tôi kịp sang đò bên kia sông buồn người ta đang tưng bừng đón dâu gọi đò ơi cớ sao không có ai đưa đò để con đò buồn hiu quạnh bến quê chẳng còn ai nhớ mong mình về ngày đi em đưa tôi qua đò chiều em hứa bao điều mãi đợi chờ nhau nhưng mà sao em lại quên em quên câu yêu thương bao năm xa quê hương nay lại về sắc son câu thề mà người xưa bỏ bến theo chồng đò ơi ai đưa tôi qua đò chiều cho nhắn đôi điều đến người mình yêu tiếng hò ai nghe quạnh hiu mai đi xa quê hương mang trong tim yêu thương duyên tình đầu thiết tha hôm nào mà giờ đây như nước qua cầu,rock-viet
Be The Heroes (Chiến Đội Vệ Thú OST),"Tuxi, HanDrytion", hiện chưa có lời bài hát nào cho be the heroes chiến đội vệ thú ost do ca sĩ tuxi handrytion trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Bay Lên,UnlimiteD,cuộc đời không đẹp như mình hằng mơ ước ta đi trong tình yêu tình yêu khao khát vì loài người còn nhiều niềm tin sinh ra không một ai mà không ước muốn tương lai đang chờ ta từng ngày phía trước này bạn hiền ơi hãy sống với những đam mê bay lên để đi đến ước mơ bay lên với những hy vọng tương lai là những cánh đồng màu xanh đam mê vì ta quá khát khao đam mê cho những hy vọng bay lên ta sẽ vươn đến thành,rock-viet
Nhìn Xem,CAM,xoay vòng xoay vòng con phố này không ai là không giàu không ai là chưa từng một lần đứng ở tòa giành con con hẻm này không ai là không nghèo khi đêm về bố và mẹ cùng con vét sạch nồi cơm con bé này chưa từng gặp bố mình vì bố nó đi rồi từ lúc nó còn nằm nôi con bé này không thèm nhìn cha mình một lần vì mắt em bận rồi cuộc sống chỉ còn 10 inch nhìn xem hạnh phúc vẫn treo ngọn đèn ông bố già sao ông ngồi yên nhìn thời thế trôi qua rồi lạc giữa hà nội lẻ loi ông bố già sao xuân này không về làm gì có xe nào chạy chuyến sài gòn lạng sơn ông bố già sao thương người vô tận đã có bao giờ từng nghĩ về chuyện nghỉ ngơi ông bố già tôi thương trộm cô nàng chẳng nói câu gì chỉ biết lẳng lặng nhìn theo kìa xanh mờ xanh mờ xanh mờ kìa ô cửa nhìn xem kìa hạnh phúc vẫn treo ngọn đèn,rock-viet
Sẽ Thế Thôi,Ngọc Ánh,bao đời vẫn thế nắng sẽ đến lúc mưa đêm về u tối sáng sớm nắng chói chang đau buồn là hoang vắng cũng sẽ đến lúc vui con đường êm ái cũng có khi gập ghềnh đoạn đừng xa đừng ngại quá tình người lắm điều hoài nghi anh yêu em em yêu anh ta yêu nhau chỉ vì thế hãy tìm lại nhau đừng vội tình mau đừng thù hằn nhau đừng reo tim đau một ngày được yêu một thời được vui một đời ngược xuôi chỉ mong yên vui,rock-viet
We Wish You A Merry Christmas,UnlimiteD, hiện chưa có lời bài hát nào cho we wish you a merry christmas do ca sĩ unlimited trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Thiên Thần Của Anh,Tuấn Nguyễn,suốt bao đêm dài ánh mắt thôi u hoàihàng lệ khô đắng con tim nàyxót xa nào phút giây chia lìa biết đến bao giờđể tìm trong muôn kiếp ta mới bên nhau kìa là em trong trắng như thiên thần làn môi ấm như còn đang hé cười ngủ ngon đi hỡi em bình yên em làthiên thần của đời anh dù cuộc sống trên thế gian không dài khi nụ hoa trắng xa giọt sương sớm mai thì em ơi hãy luôn cười vui xa xôi nơi thiên đường đã qua đêm dàiánh sáng như chói lòa tận cùng sâu xa trong đấy nơi tâm hồn giá buốt đã bao ngày ngước lên cao vời giữa những áng mây hồnglà thật nhiều đôi cánh bay trên bầu trời xanh kìalà em trong trắng ôi thiên thần nụ cười em đang tỏa hương ngát thơm bình yên trong mắt em dịu dàng em làthiên thần của đời anh dù cuộc sống trên thế gian không dài khi nụ hoa trắng xa giọt sương sớm mai thì em ơi hãy luôn cười vui xa xôi nơi thiên đườngohohoh ohngỡ như là mơ là emtrong trắng ôi thiên thần nụ cười em đang tỏa hương ngát thơm bình yên trong mắt em dịu dàng em làthiên thần của đời anh dù cuộc sống rên thế gian không dài khi nụ hoa trắng xa giọt sương sớm mai thì em ơi hãy luôn cười vuixa mãinơithiên đườngohohoh,rock-viet
Nhanh,"Titanium, MicroWave",cuộc sống ngày ngày hạnh phúc với bao bộn bề thường ngày lo toan gia đình sum vầy ấm cúng với bao hoài bão tương lai mong chờ trớ trêu số phận bất ngờ tất cả ập đến cùng lúc quá nhanh ranh giới quá đỗi mong manh ép buộc ta phải chấp nhận chấp nhận tất cả chấp nhận số phận nỗi đau bệnh tật mà ta đâu có ngờ bỏ lại tất cả gia đình vợ con bạn bè người thân nỗi xót xa vô bờ nuốt nước mắt gặm nhấm nỗi đau đành nhìn ngày ngày trôi qua mau từng cơn ớn lạnh quoằn quoại chịu đựng trong căn phòng u ám thấm đẫm sự cảm thông khuôn mặt thuộc của bạn bè người thân bỗng mờ ảo dưới ánh mắt đờ đẫn ngày mai thức giấc với ước muốn nhỏ nhoi được nhìn thấy ánh ban mai,rock-viet
Đám Cưới Chuột,Đức Duy, hiện chưa có lời bài hát nào cho đám cưới chuột do ca sĩ đức duy trình bày bạn có thể click vào đây để đăng lời cho bài hát này,rock-viet
Ký Ức Vẹn Nguyên,Mai Quốc Hòa,0 giờ đêm hai người đứng chia 1 nụ hôn 1 lần cuối đôi tim rung lên như ngày bắt đầu 0 giờ đêm con đường ngỡ ngư 1 người say giá như được gần bên êm ohhhhh tôi muốn tan vào vòng tay ấy xa em như xa 1 miền ký ức vẹn nguyên còn mãi khi trở lại là ngày hạnh phúc như ngày xưa xa em như xa 1 miền ký ức vẹn nguyên cùng lắng nghe từng nhịp điệu nhạc rực rỡ khi bình minh 0 giờ đêm anh còn thiếu em 1 nụ hôn 1 lời hứa sẽ có lúc anh trả lại 0 giờ đêm 1 người ngắm theo ngàn tầng mây biết đâu ngày tháng sẽ dài tựa mây bay ohhhhh tôi muốn tan vào vòng tay ấy xa em như xa 1 miền ký ức vẹn nguyên còn mãi khi trở lại là ngày hạnh phúc như ngày xưa xa em như xa 1 miền ký ức vẹn nguyên cùng lắng nghe từng nhịp điệu nhạc rực rỡ khi bình minh oh tôi muốn tan vào vòng tay ấy giờ em đã khóc cạn 1 đêm xa em như xa 1 miền kí ức vẹn nguyên còn mãi khi trở lại là ngày hạnh phúc như ngày xưa xa em như xa 1 miền kí ức vẹn nguyên cùng lắng nghe từng nhịp điệu nhạc rực rỡ khi bình minh xa em như xa 1 miền kí ức vẹn nguyên còn mãi khi trở lại còn mãi,rock-viet
